_id,OID,OBJECTID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Leng,Shape_Length,Shape_Area
71,-1,71,2,501,נס ציונה,מגורים,6295,3069094,מגורים,7200,1,0,0,2,0,0,2,0,2,6,1,0,0,5,6,0.651658099291000,202304,7503.073847550000210,7503.073847546777870,3069094.057413070928305
72,-1,72,4,1920,נצרת,מגורים,5008,388099,מגורים,7300,1,0,0,11,1,5,5,1,11,7,0,0,0,7,7,10.306659792200000,202304,2918.500553370000034,2918.500553367757675,388098.577100845694076
73,-1,73,6,119,תל אביב -יפו,מגורים,5121,414942,מגורים,5000,1,0,0,7,3,1,5,1,7,11,3,0,1,6,11,14.459862229600001,202304,4326.211432709999826,4326.211432710263580,414941.712770870595705
74,-1,74,0,1538,ענתא,לא ידוע,0,3231072,עתידי/לא ידוע,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,7311.864979349999885,7311.864979346601103,3231072.166436061728746
75,-1,75,48,2499,אשקלון,מגורים,5046,1022388,מגורים,7100,1,4,8,93,8,26,61,18,105,104,3,3,3,74,104,46.948919174399997,202304,4197.886977340000158,4197.886977335359006,1022387.753414561273530
76,-1,76,2,745,מודיעין-מכבים-רעות*,מגורים,9117,944055,מגורים,1200,1,0,0,5,0,1,4,0,5,3,0,0,0,3,3,2.118521570240000,202304,5112.204669200000353,5112.204669201886645,944054.584148955415003
77,-1,77,77,2117,פרוד כפר שמאי שפר אמירים כפר חנניה,מגורים,3092,43622144,מגורים,0,1,3,22,234,0,57,185,17,259,164,4,9,0,131,164,1.765158532590000,202304,33663.671034200000577,33663.671034222054004,43622144.174683213233948
78,-1,78,3,1387,בית שמש,מגורים,2406,205362,מגורים,2610,1,0,1,2,2,0,3,0,3,4,0,0,0,4,4,14.608383040200000,202304,2378.404844159999811,2378.404844161399069,205361.537395480147097
79,-1,79,0,338,בת ים,בית עלמין,0,895119,מוסדי/ציבורי,6200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,4868.997556999999688,4868.997556998736400,895119.141868847305886
80,-1,80,2,2029,ירכא,מגורים,5916,2486398,מגורים,502,1,0,0,5,0,4,1,0,5,3,0,0,0,2,3,0.804376290533000,202304,7600.339418859999569,7600.339418858038698,2486398.497245216742158
81,-1,81,1,980,קדימה-צורן,שטח פתוח,0,1175530,פנאי/טבע/ספורט,195,3,0,0,1,0,0,1,0,1,2,1,0,0,1,2,0.850680070337000,202304,5132.945947490000435,5132.945947492902633,1175530.066907600499690
82,-1,82,0,1647,תפוח,לא ידוע,0,7435054,עתידי/לא ידוע,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000,202304,10705.715878599999996,10705.715878634820911,7435054.063456912524998
83,-1,83,75,2336,חיפה,תעשיה+ מכללה,0,2917108,תעשיה/מסחר/מתקנים,4000,4,0,13,126,6,12,111,15,139,149,11,7,4,107,149,25.710395119299999,202304,7713.120988540000326,7713.120988536544246,2917108.027781940065324
